record_id,order_date,customer_id,region,product,quantity,revenue_usd
1,2024-01-02,CUST-1001,West,Widget A,3,89.97
2,2024-01-03,CUST-1002,Midwest,Widget B,1,39.99
3,2024-01-03,CUST-1003,South,Widget C,5,249.95
4,2024-01-04,CUST-1004,Northeast,Widget A,2,59.98
5,2024-01-05,CUST-1005,West,Widget B,4,159.96
6,2024-01-06,CUST-1006,South,Widget C,1,49.99
7,2024-01-07,CUST-1007,Midwest,Widget A,6,179.94
8,2024-01-08,CUST-1008,Northeast,Widget B,2,79.98
9,2024-01-08,CUST-1009,West,Widget C,3,149.97
10,2024-01-09,CUST-1010,South,Widget A,1,29.99
11,2024-01-10,CUST-1011,Midwest,Widget B,5,199.95
12,2024-01-11,CUST-1012,Northeast,Widget C,2,99.98
13,2024-01-12,CUST-1013,West,Widget A,4,119.96
14,2024-01-12,CUST-1014,South,Widget B,3,119.97
15,2024-01-13,CUST-1015,Midwest,Widget C,6,299.94
16,2024-01-14,CUST-1016,Northeast,Widget A,2,59.98
17,2024-01-15,CUST-1017,West,Widget B,1,39.99
18,2024-01-16,CUST-1018,South,Widget C,4,199.96
19,2024-01-17,CUST-1019,Midwest,Widget A,5,149.95
20,2024-01-18,CUST-1020,Northeast,Widget B,2,79.98
21,2024-01-19,CUST-1021,West,Widget C,1,49.99
22,2024-01-20,CUST-1022,South,Widget A,3,89.97
23,2024-01-21,CUST-1023,Midwest,Widget B,4,159.96
24,2024-01-22,CUST-1024,Northeast,Widget C,2,99.98
25,2024-01-23,CUST-1025,West,Widget A,6,179.94
26,2024-01-24,CUST-1026,South,Widget B,3,119.97
27,2024-01-25,CUST-1027,Midwest,Widget C,5,249.95
28,2024-01-26,CUST-1028,Northeast,Widget A,1,29.99
29,2024-01-27,CUST-1029,West,Widget B,2,79.98
30,2024-01-28,CUST-1030,South,Widget C,4,199.96
31,2024-01-29,CUST-1031,Midwest,Widget A,3,89.97
32,2024-01-30,CUST-1032,Northeast,Widget B,5,199.95
33,2024-01-31,CUST-1033,West,Widget C,6,299.94
34,2024-02-01,CUST-1034,South,Widget A,2,59.98
35,2024-02-02,CUST-1035,Midwest,Widget B,1,39.99
36,2024-02-03,CUST-1036,Northeast,Widget C,3,149.97
37,2024-02-04,CUST-1037,West,Widget A,4,119.96
38,2024-02-05,CUST-1038,South,Widget B,6,239.94
39,2024-02-06,CUST-1039,Midwest,Widget C,2,99.98
40,2024-02-07,CUST-1040,Northeast,Widget A,5,149.95
41,2024-02-08,CUST-1041,West,Widget B,3,119.97
42,2024-02-09,CUST-1042,South,Widget C,1,49.99
43,2024-02-10,CUST-1043,Midwest,Widget A,2,59.98
44,2024-02-11,CUST-1044,Northeast,Widget B,4,159.96
45,2024-02-12,CUST-1045,West,Widget C,5,249.95
46,2024-02-13,CUST-1046,South,Widget A,6,179.94
47,2024-02-14,CUST-1047,Midwest,Widget B,2,79.98
48,2024-02-15,CUST-1048,Northeast,Widget C,3,149.97
49,2024-02-16,CUST-1049,West,Widget A,1,29.99
50,2024-02-17,CUST-1050,South,Widget B,5,199.95
51,2024-02-18,CUST-1051,Midwest,Widget C,4,199.96
52,2024-02-19,CUST-1052,Northeast,Widget A,3,89.97
53,2024-02-20,CUST-1053,West,Widget B,6,239.94
54,2024-02-21,CUST-1054,South,Widget C,2,99.98
55,2024-02-22,CUST-1055,Midwest,Widget A,4,119.96
56,2024-02-23,CUST-1056,Northeast,Widget B,1,39.99
57,2024-02-24,CUST-1057,West,Widget C,3,149.97
58,2024-02-25,CUST-1058,South,Widget A,5,149.95
59,2024-02-26,CUST-1059,Midwest,Widget B,2,79.98
60,2024-02-27,CUST-1060,Northeast,Widget C,6,299.94
61,2024-02-28,CUST-1061,West,Widget A,2,59.98
62,2024-02-29,CUST-1062,South,Widget B,4,159.96
63,2024-03-01,CUST-1063,Midwest,Widget C,1,49.99
64,2024-03-02,CUST-1064,Northeast,Widget A,3,89.97
65,2024-03-03,CUST-1065,West,Widget B,5,199.95
66,2024-03-04,CUST-1066,South,Widget C,2,99.98
67,2024-03-05,CUST-1067,Midwest,Widget A,6,179.94
68,2024-03-06,CUST-1068,Northeast,Widget B,3,119.97
69,2024-03-07,CUST-1069,West,Widget C,4,199.96
70,2024-03-08,CUST-1070,South,Widget A,1,29.99
71,2024-03-09,CUST-1071,Midwest,Widget B,2,79.98
72,2024-03-10,CUST-1072,Northeast,Widget C,5,249.95
73,2024-03-11,CUST-1073,West,Widget A,4,119.96
74,2024-03-12,CUST-1074,South,Widget B,6,239.94
75,2024-03-13,CUST-1075,Midwest,Widget C,3,149.97
76,2024-03-14,CUST-1076,Northeast,Widget A,5,149.95
77,2024-03-15,CUST-1077,West,Widget B,1,39.99
78,2024-03-16,CUST-1078,South,Widget C,2,99.98
79,2024-03-17,CUST-1079,Midwest,Widget A,3,89.97
80,2024-03-18,CUST-1080,Northeast,Widget B,4,159.96
81,2024-03-19,CUST-1081,West,Widget C,6,299.94
82,2024-03-20,CUST-1082,South,Widget A,2,59.98
83,2024-03-21,CUST-1083,Midwest,Widget B,5,199.95
84,2024-03-22,CUST-1084,Northeast,Widget C,1,49.99
85,2024-03-23,CUST-1085,West,Widget A,4,119.96
86,2024-03-24,CUST-1086,South,Widget B,3,119.97
87,2024-03-25,CUST-1087,Midwest,Widget C,2,99.98
88,2024-03-26,CUST-1088,Northeast,Widget A,6,179.94
89,2024-03-27,CUST-1089,West,Widget B,2,79.98
90,2024-03-28,CUST-1090,South,Widget C,4,199.96
91,2024-03-29,CUST-1091,Midwest,Widget A,5,149.95
92,2024-03-30,CUST-1092,Northeast,Widget B,1,39.99
93,2024-03-31,CUST-1093,West,Widget C,3,149.97
94,2024-04-01,CUST-1094,South,Widget A,2,59.98
95,2024-04-02,CUST-1095,Midwest,Widget B,4,159.96
96,2024-04-03,CUST-1096,Northeast,Widget C,6,299.94
97,2024-04-04,CUST-1097,West,Widget A,1,29.99
98,2024-04-05,CUST-1098,South,Widget B,5,199.95
99,2024-04-06,CUST-1099,Midwest,Widget C,2,99.98
100,2024-04-07,CUST-1100,Northeast,Widget A,3,89.97
101,2024-04-08,CUST-1101,West,Widget B,6,239.94
102,2024-04-09,CUST-1102,South,Widget C,4,199.96
103,2024-04-10,CUST-1103,Midwest,Widget A,2,59.98
104,2024-04-11,CUST-1104,Northeast,Widget B,3,119.97
105,2024-04-12,CUST-1105,West,Widget C,5,249.95
106,2024-04-13,CUST-1106,South,Widget A,4,119.96
107,2024-04-14,CUST-1107,Midwest,Widget B,1,39.99
108,2024-04-15,CUST-1108,Northeast,Widget C,2,99.98
109,2024-04-16,CUST-1109,West,Widget A,6,179.94
110,2024-04-17,CUST-1110,South,Widget B,3,119.97
